tensor(12378., dtype=torch.float64)
epoch [163/200], loss:2.0379 Accuracy: 11320/50000
epoch [164/200], loss:2.0368 Accuracy: 11476/50000
epoch [165/200], loss:2.0409 Accuracy: 11445/50000
epoch [166/200], loss:2.0361 Accuracy: 11423/50000
epoch [167/200], loss:2.0364 Accuracy: 11312/50000
epoch [168/200], loss:2.0355 Accuracy: 11266/50000
epoch [169/200], loss:2.0367 Accuracy: 11461/50000
epoch [170/200], loss:2.0334 Accuracy: 11636/50000
epoch [171/200], loss:2.0363 Accuracy: 11407/50000
epoch [172/200], loss:2.0335 Accuracy: 11437/50000
epoch [173/200], loss:2.0338 Accuracy: 11339/50000
epoch [174/200], loss:2.0344 Accuracy: 11513/50000
epoch [175/200], loss:2.0336 Accuracy: 11490/50000
epoch [176/200], loss:2.0295 Accuracy: 11468/50000
epoch [177/200], loss:2.0275 Accuracy: 11512/50000
epoch [178/200], loss:2.0311 Accuracy: 11607/50000
epoch [179/200], loss:2.0343 Accuracy: 11389/50000
epoch [180/200], loss:2.0288 Accuracy: 11482/50000
epoch [181/200], loss:2.0325 Accuracy: 11478/50000
epoch [182/200], loss:2.0303 Accuracy: 11600/50000
epoch [183/200], loss:2.0297 Accuracy: 11670/50000
epoch [184/200], loss:2.0291 Accuracy: 11552/50000
epoch [185/200], loss:2.0257 Accuracy: 11512/50000
epoch [186/200], loss:2.0245 Accuracy: 11616/50000
epoch [187/200], loss:2.0313 Accuracy: 11672/50000
epoch [188/200], loss:2.0287 Accuracy: 11584/50000
epoch [189/200], loss:2.0312 Accuracy: 11745/50000
epoch [190/200], loss:2.0222 Accuracy: 11786/50000
epoch [191/200], loss:2.0251 Accuracy: 11633/50000
epoch [192/200], loss:2.0271 Accuracy: 11676/50000
epoch [193/200], loss:2.0257 Accuracy: 11878/50000
epoch [194/200], loss:2.0183 Accuracy: 11644/50000
epoch [195/200], loss:2.0223 Accuracy: 11743/50000
epoch [196/200], loss:2.0244 Accuracy: 11798/50000
epoch [197/200], loss:2.0173 Accuracy: 12008/50000
epoch [198/200], loss:2.0220 Accuracy: 11757/50000
epoch [199/200], loss:2.0181 Accuracy: 11801/50000
epoch [200/200], loss:2.0245 Accuracy: 11651/50000
average correct: 10399.19
average loss: 2.09133252934723
